companyid;companyname;ticker;price;p_l;p_vp;p_ebit;p_ativo;ev_ebit;margembruta;margemebit;margemliquida;p_sr;p_capitalgiro;p_ativocirculante;giroativos;roe;roa;roic;dividaliquidapatrimonioliquido;dividaliquidaebit;pl_ativo;passivo_ativo;liquidezcorrente;peg_ratio;receitas_cagr5;liquidezmediadiaria;vpa;lpa;valormercado;segmentid;sectorid;subsectorid;subsectorname;segmentname;sectorname;dy;lucros_cagr5;datacarga
321;BLUE TECH SOLUTIONS E.Q.I. S;BLUT4;1,52;-1,66;0,14;-1,82;0,04;-4,91;;;;;-0,32;-0,04;0,0;-8,15;-2,46;-6,65;0,12;-1,59;0,3;0,7;0,0;0,06;;;11,21;-0,91;14115600,06;53;4,0;23,0;Holdings Diversificadas;Holdings Diversificadas;Financeiro e Outros;;;02/20/24 12:07
338;BCO MERCANTIL DO BRASIL S.A.;BMEB3;24,24;8,83;1,74;7,11;0,14;7,08;52,09;7,94;6,39;0,56;1,27;-0,16;0,25;19,66;1,59;;;;0,08;0,92;;0,18;5,94;36552,59;13,96;2,74;2531198540,2;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;5,93;31,72;02/20/24 12:07
338;BCO MERCANTIL DO BRASIL S.A.;BMEB4;23,99;8,74;1,72;7,04;0,14;7,08;52,09;7,94;6,39;0,56;1,26;-0,16;0,25;19,66;1,59;;;;0,08;0,92;;0,18;5,94;451807,53;13,96;2,74;2531198540,2;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;6,59;31,72;02/20/24 12:07
553;BANCO BMG S.A.;BMGB4;3,98;10,54;0,56;45,63;0,05;45,63;35,71;0,71;3,05;0,32;;-0,05;0,16;5,32;0,5;;;;0,09;0,91;;0,06;19,34;5010829,74;7,1;0,38;2321264995,78;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;9,44;78,0;02/20/24 12:07
337;BCO MERCANTIL DE INVESTIMENTOS S.A.;BMIN3;19,51;9,81;0,69;7,7;0,36;7,47;59,27;33,24;26,08;2,56;79,31;-0,37;0,14;7,0;3,71;;;;0,53;0,47;;0,22;16,78;23484,79;28,39;1,99;91256471,42;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;6,19;;02/20/24 12:07
337;BCO MERCANTIL DE INVESTIMENTOS S.A.;BMIN4;14,61;7,35;0,51;5,77;0,27;7,47;59,27;33,24;26,08;1,92;59,39;-0,27;0,14;7,0;3,71;;;;0,53;0,47;;0,16;16,78;181736,13;28,39;1,99;91256471,42;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;8,26;;02/20/24 12:07
275;BICICLETAS MONARK S.A.;BMKS3;355,0;7,4;0,79;39,2;0,69;1,0;28,02;25,71;136,17;10,08;0,93;-2,81;0,07;10,66;9,28;-1,63;-0,77;-38,2;0,87;0,13;36,3;-1,76;2,51;7708,16;450,03;47,95;161436250,0;38;2,0;15,0;Viagens e Lazer;Bicicletas;Consumo Cíclico;16,28;22,12;02/20/24 12:07
680;BEMOBI MOBILE TECH S.A.;BMOB3;12,67;16,08;1,02;11,25;0,79;5,8;24,0;7,5;5,24;0,84;1,7;-2,36;0,94;6,35;4,92;4,52;-0,5;-5,46;0,78;0,22;3,35;-0,75;;3870956,62;12,41;0,79;1104076851,48;82;8,0;41,0;Programas e Serviços;Programas e Serviços;Tecnologia da Informação;1,76;;02/20/24 12:07
339;BCO NORDESTE DO BRASIL S.A.;BNBR3;114,5;4,38;0,96;2,62;0,15;2,62;47,54;42,45;25,39;1,11;3,91;-0,16;0,14;22,0;3,48;;;;0,16;0,84;;0,33;8,76;33080,11;118,87;26,16;9889532628,0;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;3,1;25,82;02/20/24 12:07
637;BOA VISTA SERVIÇOS S.A.;BOAS3;7,95;15,22;1,83;25,6;1,7;18,69;56,53;19,25;32,39;4,93;3,34;-3,8;0,34;12,04;11,16;4,65;-0,5;-6,92;0,93;0,07;12,37;5,59;8,81;53310276,5;4,34;0,52;4212250617,75;62;4,0;28,0;Serviços Financeiros Diversos;Serviços Financeiros Diversos;Financeiro e Outros;;74,34;02/20/24 12:07
300;BOMBRIL S.A.;BOBR3;0,0;0,0;0,0;0,0;0,0;2,81;39,6;15,89;7,28;0,0;0,0;0,0;1,64;-149,2;11,92;59,94;;1,55;-0,08;1,08;0,84;0,0;6,05;;-0,28;0,41;294946708,8;49;3,0;21,0;Produtos de Uso Pessoal e de Limpeza;Produtos de Limpeza;Consumo não Cíclico;;-3,28;02/20/24 12:07
300;BOMBRIL S.A.;BOBR4;2,42;5,87;-8,76;2,69;0,7;2,81;39,6;15,89;7,28;0,43;-7,31;-1,36;1,64;-149,2;11,92;59,94;;1,55;-0,08;1,08;0,84;-0,02;6,05;239721,65;-0,28;0,41;294946708,8;49;3,0;21,0;Produtos de Uso Pessoal e de Limpeza;Produtos de Limpeza;Consumo não Cíclico;;-3,28;02/20/24 12:07
332;BCO BTG PACTUAL S.A.;BPAC11;37,4;16,22;3,0;13,96;0,34;13,92;19,88;23,13;19,91;3,23;23,29;-3,45;0,1;18,51;2,07;;;;0,11;0,89;1,02;0,69;46,0;277348503,38;12,46;2,31;142982716971,95;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;1,69;33,74;02/20/24 12:07
332;BCO BTG PACTUAL S.A.;BPAC3;18,74;24,39;4,51;20,99;0,51;13,92;19,88;23,13;19,91;4,86;35,0;-5,18;0,1;18,51;2,07;;;;0,11;0,89;1,02;1,03;46,0;97404,94;4,15;0,77;142982716971,95;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;1,12;33,74;02/20/24 12:07
332;BCO BTG PACTUAL S.A.;BPAC5;9,27;12,06;2,23;10,38;0,25;13,92;19,88;23,13;19,91;2,4;17,32;-2,56;0,1;18,51;2,07;;;;0,11;0,89;1,02;0,51;46,0;101710,85;4,15;0,77;142982716971,95;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;2,27;33,74;02/20/24 12:07
340;BCO PAN S.A.;BPAN4;9,03;18,41;1,56;16,28;0,21;16,28;49,84;4,88;4,32;0,8;;-0,21;0,27;8,47;1,16;;;;0,14;0,86;;-2,19;8,24;18378948,24;5,79;0,49;11459702912,7;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;2,38;41,4;02/20/24 12:07
334;BCO ESTADO DO PARA S.A.;BPAR3;182,07;7,65;0,94;4,59;0,1;4,59;48,75;13,16;7,91;0,6;6,24;-0,11;0,17;12,3;1,36;;;;0,11;0,89;;-0,44;4,66;;193,58;23,82;1733606633,43;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;;-0,41;02/20/24 12:07
341;BCO PATAGONIA S.A.;BPAT33;44,05;6,98;0,66;1,8;0,09;1,8;51,56;21,77;5,61;0,39;;-0,12;0,24;9,46;1,35;;;;0,14;0,86;;-0,11;14,99;;66,71;6,31;1533769021,0;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;;-18,89;02/20/24 12:07
414;BRASIL PHARMA S.A.;BPHA3;0,62;0,06;-0,24;0,8;0,99;1,66;98,02;1029,99;13896,67;8,28;-0,38;-1,18;0,12;-402,5;1669,02;-36,75;;0,85;-4,15;5,15;0,06;0,0;-68,85;;-2,58;10,4;70110298,74;77;7,0;36,0;Comércio e Distribuição;Medicamentos e Outros Produtos;Saúde;;;02/20/24 12:07
381;BRADESPAR S.A.;BRAP3;20,36;3,77;1,0;3,89;0,98;3,8;;;;;17,43;-1,06;0,0;26,44;26,09;25,51;-0,06;-0,24;0,99;0,01;5,31;-0,06;;1373568,38;20,41;5,4;8326052604,86;67;5,0;32,0;Mineração;Minerais Metálicos;Materiais Básicos;13,49;-1,84;02/20/24 12:07
381;BRADESPAR S.A.;BRAP4;21,68;4,02;1,06;4,14;1,05;3,8;;;;;18,56;-1,13;0,0;26,44;26,09;25,51;-0,06;-0,24;0,99;0,01;5,31;-0,06;;71219881,91;20,41;5,4;8326052604,86;67;5,0;32,0;Mineração;Minerais Metálicos;Materiais Básicos;13,94;-1,84;02/20/24 12:07
785;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;BRBI11;15,8;11,38;2,14;36,31;0,18;31,76;17,13;2,9;9,24;1,05;;-0,18;0,17;18,78;1,55;-2,15;-0,27;-4,55;0,08;0,92;;10,94;;4780508,29;7,39;1,39;1658932123,2;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;8,35;;02/20/24 12:07
785;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;BRBI3;0,0;0,0;0,0;0,0;0,0;31,76;17,13;2,9;9,24;0,0;;0,0;0,17;18,78;1,55;-2,15;-0,27;-4,55;0,08;0,92;;0,0;;;2,46;0,46;1658932123,2;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;;;02/20/24 12:07
785;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;BRBI4;0,0;0,0;0,0;0,0;0,0;31,76;17,13;2,9;9,24;0,0;;0,0;0,17;18,78;1,55;-2,15;-0,27;-4,55;0,08;0,92;;0,0;;;2,46;0,46;1658932123,2;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;;;02/20/24 12:07
291;BRF S.A.;BRFS3;14,03;-6,39;1,67;-58,81;0,4;-86,02;14,97;-0,74;-6,84;0,44;3,72;-0,77;0,91;-26,15;-6,23;-1,23;0,77;-27,2;0,24;0,75;1,29;-0,04;13,7;98749166,29;8,39;-2,19;23605099641,38;45;3,0;17,0;Alimentos Processados;Carnes e Derivados;Consumo não Cíclico;;;02/20/24 12:07
359;CONSORCIO ALFA DE ADMINISTRACAO S.A.;BRGE11;11,51;17,82;0,63;-124,29;0,29;98,71;-4173,02;-192,28;1340,82;238,98;0,76;-0,64;0,0;3,56;1,61;-1,43;-1,15;225,39;0,45;0,36;3,13;-0,45;-31,54;29511,83;18,16;0,65;863992884,48;59;4,0;26,0;Previdência e Seguros;Seguradoras;Financeiro e Outros;;-1,46;02/20/24 12:07
359;CONSORCIO ALFA DE ADMINISTRACAO S.A.;BRGE12;11,52;17,84;0,63;-124,4;0,29;98,71;-4173,02;-192,28;1340,82;239,19;0,76;-0,64;0,0;3,56;1,61;-1,43;-1,15;225,39;0,45;0,36;3,13;-0,45;-31,54;8759,8;18,16;0,65;863992884,48;59;4,0;26,0;Previdência e Seguros;Seguradoras;Financeiro e Outros;;-1,46;02/20/24 12:07
359;CONSORCIO ALFA DE ADMINISTRACAO S.A.;BRGE3;11,84;18,33;0,65;-127,86;0,3;98,71;-4173,02;-192,28;1340,82;245,83;0,78;-0,66;0,0;3,56;1,61;-1,43;-1,15;225,39;0,45;0,36;3,13;-0,46;-31,54;25773,44;18,16;0,65;863992884,48;59;4,0;26,0;Previdência e Seguros;Seguradoras;Financeiro e Outros;;-1,46;02/20/24 12:07
359;CONSORCIO ALFA DE ADMINISTRACAO S.A.;BRGE5;11,6;17,96;0,64;-125,26;0,29;98,71;-4173,02;-192,28;1340,82;240,85;0,77;-0,65;0,0;3,56;1,61;-1,43;-1,15;225,39;0,45;0,36;3,13;-0,46;-31,54;13297,5;18,16;0,65;863992884,48;59;4,0;26,0;Previdência e Seguros;Seguradoras;Financeiro e Outros;;-1,46;02/20/24 12:07
359;CONSORCIO ALFA DE ADMINISTRACAO S.A.;BRGE6;12,0;18,58;0,66;-129,58;0,3;98,71;-4173,02;-192,28;1340,82;249,16;0,79;-0,67;0,0;3,56;1,61;-1,43;-1,15;225,39;0,45;0,36;3,13;-0,47;-31,54;13032,56;18,16;0,65;863992884,48;59;4,0;26,0;Previdência e Seguros;Seguradoras;Financeiro e Outros;;-1,46;02/20/24 12:07
359;CONSORCIO ALFA DE ADMINISTRACAO S.A.;BRGE7;11,5;17,81;0,63;-124,18;0,29;98,71;-4173,02;-192,28;1340,82;238,77;0,76;-0,64;0,0;3,56;1,61;-1,43;-1,15;225,39;0,45;0,36;3,13;-0,45;-31,54;18394,0;18,16;0,65;863992884,48;59;4,0;26,0;Previdência e Seguros;Seguradoras;Financeiro e Outros;;-1,46;02/20/24 12:07
359;CONSORCIO ALFA DE ADMINISTRACAO S.A.;BRGE8;11,47;17,76;0,63;-123,86;0,29;98,71;-4173,02;-192,28;1340,82;238,15;0,76;-0,64;0,0;3,56;1,61;-1,43;-1,15;225,39;0,45;0,36;3,13;-0,45;-31,54;35579,0;18,16;0,65;863992884,48;59;4,0;26,0;Previdência e Seguros;Seguradoras;Financeiro e Outros;;-1,46;02/20/24 12:07
355;BR INSURANCE CORRETORA DE SEGUROS S.A.;BRIN3;39,15;53,61;1,67;24,49;0,97;24,14;100,0;11,0;5,02;2,69;-44,79;-1,22;0,36;3,12;1,82;5,96;-0,02;-0,35;0,58;0,42;0,9;-2,2;21,03;;23,43;0,73;798299859,15;58;;;;;;0,83;;02/20/24 12:07
795;BRISANET PARTICIPAÇÕES S.A.;BRIT3;2,91;9,93;0,88;5,2;0,42;8,13;46,79;21,28;11,15;1,11;3,23;-0,54;0,38;8,88;4,2;7,7;0,5;2,92;0,47;0,53;2,3;0,03;;1637068,91;3,3;0,29;1306866205,56;83;9,0;42,0;Telecomunicações;Telecomunicações;Comunicações;1,11;;02/20/24 12:07
328;BCO ALFA DE INVESTIMENTO S.A.;BRIV3;11,28;18,2;0,58;12,01;0,04;12,0;15,61;2,39;1,58;0,29;0,53;-0,04;0,14;3,2;0,22;;;;0,07;0,93;7,22;0,94;20,48;57784,33;19,39;0,62;998712218,42;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;;2,02;02/20/24 12:07
328;BCO ALFA DE INVESTIMENTO S.A.;BRIV4;11,26;18,17;0,58;11,99;0,04;12,0;15,61;2,39;1,58;0,29;0,53;-0,04;0,14;3,2;0,22;;;;0,07;0,93;7,22;0,94;20,48;314625,41;19,39;0,62;998712218,42;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;;2,02;02/20/24 12:07
386;BRASKEM S.A;BRKM3;19,93;-3,37;3,16;-4,4;0,17;-10,95;2,65;-4,95;-6,47;0,22;1,21;-0,29;0,79;-93,87;-5,12;-11,04;4,75;-6,61;0,05;0,95;1,54;0,01;14,4;347851,85;6,3;-5,91;15653385487,86;70;5,0;33,0;Químicos;Petroquímicos;Materiais Básicos;;;02/20/24 12:07
386;BRASKEM S.A;BRKM5;19,25;-3,25;3,06;-4,25;0,17;-10,95;2,65;-4,95;-6,47;0,21;1,17;-0,28;0,79;-93,87;-5,12;-11,04;4,75;-6,61;0,05;0,95;1,54;0,01;14,4;57532164,09;6,3;-5,91;15653385487,86;70;5,0;33,0;Químicos;Petroquímicos;Materiais Básicos;;;02/20/24 12:07
386;BRASKEM S.A;BRKM6;14,03;-2,37;2,23;-3,1;0,12;-10,95;2,65;-4,95;-6,47;0,15;0,85;-0,2;0,79;-93,87;-5,12;-11,04;4,75;-6,61;0,05;0,95;1,54;0,01;14,4;2379,2;6,3;-5,91;15653385487,86;70;5,0;33,0;Químicos;Petroquímicos;Materiais Básicos;;;02/20/24 12:07
303;BR MALLS PARTICIPACOES S.A.;BRML3;8,26;12,72;0,6;6,61;0,38;8,19;89,11;67,22;34,91;4,44;-332,15;-0,41;0,09;4,7;3,01;6,57;0,14;1,59;0,64;0,35;0,99;-15,71;2,7;;13,82;0,65;6841542281,84;51;4,0;22,0;Exploração de Imóveis;Exploração de Imóveis;Financeiro e Outros;;;02/20/24 12:07
304;BR PROPERTIES S.A.;BRPR3;131,17;-0,56;0,05;-0,21;0,04;0,06;100,0;-336,36;-123,98;0,7;1,73;-0,05;0,06;-9,55;-6,86;-29,1;-0,07;0,27;0,72;0,28;1,12;0,01;-7,12;2066991,77;2447,95;-233,75;60919545,44;51;4,0;22,0;Exploração de Imóveis;Exploração de Imóveis;Financeiro e Outros;;;02/20/24 12:07
556;BRQ SOLUCOES EM INFORMATICA S.A.;BRQB3;0,0;0,0;0,0;0,0;0,0;-0,85;36,57;16,79;10,76;0,0;0,0;0,0;1,87;36,62;20,08;33,56;-0,48;-0,85;0,55;0,44;2,53;0,0;19,62;;1,56;0,57;0,0;82;8,0;41,0;Programas e Serviços;Programas e Serviços;Tecnologia da Informação;;108,83;02/20/24 12:07
335;BCO ESTADO DO RIO GRANDE DO SUL S.A;BRSR3;15,05;6,57;0,64;5,8;0,05;5,86;33,16;7,22;6,38;0,42;1,09;-0,05;0,12;9,69;0,76;;;;0,08;0,92;4,22;0,44;6,91;167935,68;23,66;2,29;6220316962,37;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;6,09;-3,06;02/20/24 12:07
335;BCO ESTADO DO RIO GRANDE DO SUL S.A;BRSR5;18,47;8,06;0,78;7,12;0,06;5,86;33,16;7,22;6,38;0,51;1,34;-0,06;0,12;9,69;0,76;;;;0,08;0,92;4,22;0,54;6,91;11304,4;23,66;2,29;6220316962,37;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;5,05;-3,06;02/20/24 12:07
335;BCO ESTADO DO RIO GRANDE DO SUL S.A;BRSR6;15,37;6,7;0,65;5,92;0,05;5,86;33,16;7,22;6,38;0,43;1,11;-0,05;0,12;9,69;0,76;;;;0,08;0,92;4,22;0,45;6,91;18845340,26;23,66;2,29;6220316962,37;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;5,97;-3,06;02/20/24 12:07
285;BIOSEV S.A.;BSEV3;9,0;10,22;-10,84;3,17;0,78;5,46;26,77;17,92;5,55;0,57;-1,59;-1,13;1,37;-106,05;7,59;30,9;;2,3;-0,07;1,07;0,39;-0,06;10,88;;-0,83;0,88;9183864834,0;43;3,0;17,0;Alimentos Processados;Açucar e Alcool;Consumo não Cíclico;;;02/20/24 12:07
555;BRB BCO DE BRASILIA S.A.;BSLI3;12,75;13,92;1,88;17,19;0,1;16,75;30,1;4,3;5,31;0,74;-0,39;-0,11;0,13;13,48;0,7;;;;0,05;0,95;0,28;0,94;20,22;14456,91;6,8;0,92;4508637875,0;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;0,36;5,52;02/20/24 12:07
555;BRB BCO DE BRASILIA S.A.;BSLI4;11,3;12,33;1,66;15,24;0,09;16,75;30,1;4,3;5,31;0,65;-0,35;-0,1;0,13;13,48;0,7;;;;0,05;0,95;0,28;0,83;20,22;11761,0;6,8;0,92;4508637875,0;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;0,44;5,52;02/20/24 12:07
319;EMBPAR PARTICIPACOES S.A.;BTTL4;11091,73;5203,28;1330,77;2835,92;1161,79;2,18;13,55;12,07;6,58;342,24;2554,35;-2237,49;3,39;25,58;22,33;34,5;-0,15;-0,31;0,87;0,13;18,54;-109,63;38,18;;8,33;2,13;145187749,36;53;4,0;23,0;Holdings Diversificadas;Holdings Diversificadas;Financeiro e Outros;;;02/20/24 12:07
227;CONSTRUTORA ADOLPHO LINDENBERG S.A.;CALI3;17,5;4,63;2,03;3,09;0,32;4,91;25,75;13,41;8,96;0,41;2,85;-0,45;0,78;43,82;6,98;20,66;1,19;1,82;0,16;0,84;1,69;0,03;65,29;10976,67;8,63;3,78;65116992,5;23;2,0;9,0;Construção Civil;Incorporações;Consumo Cíclico;2,55;25,04;02/20/24 12:07
227;CONSTRUTORA ADOLPHO LINDENBERG S.A.;CALI4;50,0;13,22;5,79;8,83;0,92;4,91;25,75;13,41;8,96;1,18;8,14;-1,28;0,78;43,82;6,98;20,66;1,19;1,82;0,16;0,84;1,69;0,07;65,29;;8,63;3,78;65116992,5;23;2,0;9,0;Construção Civil;Incorporações;Consumo Cíclico;;25,04;02/20/24 12:07
490;CAMBUCI S.A.;CAMB3;11,39;6,27;2,2;4,55;1,36;4,79;47,78;22,12;16,05;1,01;5,83;-2,63;1,35;35,03;21,68;42,22;0,12;0,25;0,62;0,38;1,93;0,28;11,16;747201,44;5,19;1,82;481513161,2;32;2,0;13,0;Tecidos. Vestuário e Calçados;Calçados;Consumo Cíclico;1,21;11,41;02/20/24 12:07
490;CAMBUCI S.A.;CAMB4;6,25;3,44;1,21;2,5;0,75;4,79;47,78;22,12;16,05;0,55;3,2;-1,45;1,35;35,03;21,68;42,22;0,12;0,25;0,62;0,38;1,93;0,15;11,16;;5,19;1,82;481513161,2;32;2,0;13,0;Tecidos. Vestuário e Calçados;Calçados;Consumo Cíclico;2,21;11,41;02/20/24 12:07
287;CAMIL ALIMENTOS S.A.;CAML3;8,62;6,22;1,01;3,57;0,33;7,05;20,98;8,22;4,71;0,29;1,19;-0,73;1,12;16,16;5,26;10,72;0,98;3,49;0,33;0,67;1,99;0,02;16,96;6707085,71;8,57;1,38;3017000000,0;44;3,0;17,0;Alimentos Processados;Alimentos Diversos;Consumo não Cíclico;3,35;14,1;02/20/24 12:07
647;MÉLIUZ S.A.;CASH3;7,16;-15,96;0,79;-8,18;0,52;-2,67;-22,15;-22,16;-11,35;1,81;1,05;-2,44;0,29;-4,98;-3,24;-10,47;-0,54;5,51;0,65;0,34;2,65;0,39;70,01;16081705,38;9,01;-0,45;620298187,0;82;8,0;41,0;Programas e Serviços;Programas e Serviços;Tecnologia da Informação;;;02/20/24 12:07
440;CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;CASN3;9,61;164,59;4,97;37,09;2,19;40,91;43,12;16,91;3,81;6,27;-31,74;-2,48;0,35;3,02;1,33;6,32;0,83;6,22;0,44;0,56;0,63;-4,36;6,67;;1,93;0,06;9343450886,5;84;10,0;43,0;Água e Saneamento;Água e Saneamento;Utilidade Pública;0,23;;02/20/24 12:07
440;CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;CASN4;8,37;143,35;4,33;32,31;1,91;40,91;43,12;16,91;3,81;5,46;-27,64;-2,16;0,35;3,02;1,33;6,32;0,83;6,22;0,44;0,56;0,63;-3,8;6,67;;1,93;0,06;9343450886,5;84;10,0;43,0;Água e Saneamento;Água e Saneamento;Utilidade Pública;0,29;;02/20/24 12:07
557;CIA INDUSTRIAL CATAGUASES;CATA3;103,61;0,72;0,08;0,73;0,04;3,39;26,77;6,6;6,77;0,05;0,12;-0,1;0,78;11,53;5,28;4,25;0,3;2,66;0,46;0,54;1,93;-0,02;12,66;;1257,08;144,89;14940354,78;33;2,0;13,0;Tecidos. Vestuário e Calçados;Fios e Tecidos;Consumo Cíclico;19,05;;02/20/24 12:07
557;CIA INDUSTRIAL CATAGUASES;CATA4;0,0;0,0;0,0;0,0;0,0;3,39;26,77;6,6;6,77;0,0;0,0;0,0;0,78;11,53;5,28;4,25;0,3;2,66;0,46;0,54;1,93;0,0;12,66;;1257,08;144,89;14940354,78;33;2,0;13,0;Tecidos. Vestuário e Calçados;Fios e Tecidos;Consumo Cíclico;;;02/20/24 12:07
787;Companhia Brasileira de Alumínio;CBAV3;3,94;-2,04;0,54;-1,86;0,19;-4,13;-12,43;-12,73;-11,59;0,24;0,94;-0,3;0,8;-26,28;-9,32;-18,02;0,66;-2,28;0,35;0,63;2,26;0,01;;16645002,56;7,35;-1,93;2565226426,18;67;5,0;32,0;Mineração;Minerais Metálicos;Materiais Básicos;8,78;;02/20/24 12:07
447;AMPLA ENERGIA E SERVICOS S.A.;CBEE3;12,0;-16,57;0,57;3,78;0,17;10,25;17,0;10,48;-2,39;0,4;-0,79;-0,21;0,44;-3,43;-1,04;7,07;0,97;6,47;0,3;0,7;0,46;0,03;7,69;1624,5;21,13;-0,72;3048417672,0;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública;;;02/20/24 12:07
198;CCR S.A.;CCRO3;13,3;28,77;2,12;5,34;0,51;9,84;42,94;30,38;5,64;1,62;20,81;-0,65;0,31;7,37;1,77;9,69;1,79;4,5;0,24;0,75;1,13;-0,37;12,68;73509906,62;6,28;0,46;26845800000,0;13;1,0;6,0;Transporte;Exploração de Rodovias;Bens Industriais;1,45;-12,27;02/20/24 12:07
350;CCX CARVÃO DA COLÔMBIA S.A.;CCXC3;1,16;-0,18;-0,03;-2,43;2,38;-2,39;;;;;-0,03;;0,0;-14,81;-1353,02;1,07;;0,04;-91,35;92,46;0,01;0,0;;;-44,46;-6,59;1973425,64;57;4,0;25,0;Outros;Outros;Financeiro e Outros;;;02/20/24 12:07
522;CEA MODAS S.A.;CEAB3;7,81;51,77;0,85;6,19;0,28;7,73;51,91;6,1;0,73;0,38;1,55;-0,53;0,73;1,64;0,53;8,09;0,21;1,55;0,32;0,68;1,59;-0,29;4,19;22662793,65;9,22;0,15;2404311530,4;22;2,0;8,0;Comércio;Tecidos. Vestuário e Calçados;Consumo Cíclico;;-13,65;02/20/24 12:07
454;CIA ENERGETICA DE BRASILIA;CEBR3;20,19;7,47;1,39;5,95;1,0;3,51;42,78;84,57;67,3;5,03;2,26;-2,1;0,2;18,63;13,32;12,9;-0,65;-2,76;0,71;0,11;6,09;-25,3;-34,71;115881,41;14,5;2,7;1535608938,0;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública;13,13;8,36;02/20/24 12:07
454;CIA ENERGETICA DE BRASILIA;CEBR5;18,9;6,99;1,3;5,57;0,93;3,51;42,78;84,57;67,3;4,71;2,12;-1,97;0,2;18,63;13,32;12,9;-0,65;-2,76;0,71;0,11;6,09;-23,68;-34,71;125033,62;14,5;2,7;1535608938,0;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública;14,03;8,36;02/20/24 12:07
454;CIA ENERGETICA DE BRASILIA;CEBR6;22,4;8,29;1,54;6,6;1,1;3,51;42,78;84,57;67,3;5,58;2,51;-2,33;0,2;18,63;13,32;12,9;-0,65;-2,76;0,71;0,11;6,09;-28,07;-34,71;164249,94;14,5;2,7;1535608938,0;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública;13,02;8,36;02/20/24 12:07
261;CIA FIACAO TECIDOS CEDRO CACHOEIRA;CEDO3;24,84;3,88;1,34;1,42;0,3;2,64;28,22;15,02;5,48;0,21;4,19;-0,65;1,39;34,57;7,62;35,72;1,15;1,21;0,22;0,78;1,15;-0,01;14,09;58552,5;18,52;6,4;251319169,28;33;2,0;13,0;Tecidos. Vestuário e Calçados;Fios e Tecidos;Consumo Cíclico;;-5,0;02/20/24 12:07
261;CIA FIACAO TECIDOS CEDRO CACHOEIRA;CEDO4;25,52;3,99;1,38;1,45;0,3;2,64;28,22;15,02;5,48;0,22;4,31;-0,66;1,39;34,57;7,62;35,72;1,15;1,21;0,22;0,78;1,15;-0,01;14,09;59770,41;18,52;6,4;251319169,28;33;2,0;13,0;Tecidos. Vestuário e Calçados;Fios e Tecidos;Consumo Cíclico;;-5,0;02/20/24 12:07
453;CIA ELETRICIDADE EST. DA BAHIA - COELBA;CEEB3;39,84;7,34;1,76;3,23;0,38;7,98;28,66;22,4;9,86;0,72;-6,32;-0,48;0,52;24,0;5,12;14,62;2,2;4,04;0,21;0,79;0,79;-0,29;11,42;40866,32;22,61;5,43;12736360387,6;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública;3,1;51,69;02/20/24 12:07
453;CIA ELETRICIDADE EST. DA BAHIA - COELBA;CEEB5;36,85;6,79;1,63;2,99;0,35;7,98;28,66;22,4;9,86;0,67;-5,84;-0,45;0,52;24,0;5,12;14,62;2,2;4,04;0,21;0,79;0,79;-0,27;11,42;24215,33;22,61;5,43;12736360387,6;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública;3,35;51,69;02/20/24 12:07
